id,color,type,stock,branchId,createdAt,updatedAt
168,violet,super,28,2,2023-06-13T08:14:38,2023-06-13T08:14:38
169,white,super,44,2,2023-06-13T08:14:38,2023-06-13T08:14:38
170,white excellent,super,55,2,2023-06-13T08:14:38,2023-06-13T08:14:38
171,yellow,super,58,2,2023-06-13T08:14:38,2023-06-13T08:14:38
172,apple green,multi,52,2,2023-06-13T08:14:38,2023-06-13T08:14:38
173,apple white,multi,49,2,2023-06-13T08:14:38,2023-06-13T08:14:38
174,avocado,multi,39,2,2023-06-13T08:14:38,2023-06-13T08:14:38
175,black,multi,50,2,2023-06-13T08:14:38,2023-06-13T08:14:38
176,black brown,multi,37,2,2023-06-13T08:14:38,2023-06-13T08:14:38
177,blue,multi,58,2,2023-06-13T08:14:38,2023-06-13T08:14:38
178,blue white,multi,10,2,2023-06-13T08:14:38,2023-06-13T08:14:38
179,besco blue,multi,57,2,2023-06-13T08:14:38,2023-06-13T08:14:38
180,broken white,multi,28,2,2023-06-13T08:14:38,2023-06-13T08:14:38
181,brown,multi,28,2,2023-06-13T08:14:38,2023-06-13T08:14:38
182,caramel,multi,38,2,2023-06-13T08:14:38,2023-06-13T08:14:38
183,cherry natural,multi,13,2,2023-06-13T08:14:38,2023-06-13T08:14:38
184,chili red,multi,56,2,2023-06-13T08:14:38,2023-06-13T08:14:38
185,cream,multi,38,2,2023-06-13T08:14:38,2023-06-13T08:14:38
186,cream gold,multi,51,2,2023-06-13T08:14:38,2023-06-13T08:14:38
187,cyanine blue,multi,20,2,2023-06-13T08:14:38,2023-06-13T08:14:38
188,flower pot,multi,52,2,2023-06-13T08:14:38,2023-06-13T08:14:38
189,green,multi,20,2,2023-06-13T08:14:38,2023-06-13T08:14:38
190,grey,multi,43,2,2023-06-13T08:14:38,2023-06-13T08:14:38
191,grey silver,multi,51,2,2023-06-13T08:14:38,2023-06-13T08:14:38
192,grey silver dark,multi,46,2,2023-06-13T08:14:38,2023-06-13T08:14:38
193,hulahop,multi,47,2,2023-06-13T08:14:38,2023-06-13T08:14:38
194,lavender,multi,36,2,2023-06-13T08:14:38,2023-06-13T08:14:38
195,lemon jazz,multi,51,2,2023-06-13T08:14:38,2023-06-13T08:14:38
196,maroon,multi,12,2,2023-06-13T08:14:38,2023-06-13T08:14:38
197,orange,multi,25,2,2023-06-13T08:14:38,2023-06-13T08:14:38
198,pepper green,multi,16,2,2023-06-13T08:14:38,2023-06-13T08:14:38
199,pink,multi,17,2,2023-06-13T08:14:38,2023-06-13T08:14:38
200,pink mambo,multi,44,2,2023-06-13T08:14:38,2023-06-13T08:14:38
201,red mambo,multi,51,2,2023-06-13T08:14:38,2023-06-13T08:14:38
202,stabilo,multi,42,2,2023-06-13T08:14:38,2023-06-13T08:14:38
203,sun flower,multi,21,2,2023-06-13T08:14:38,2023-06-13T08:14:38
204,Surf green,multi,18,2,2023-06-13T08:14:38,2023-06-13T08:14:38
205,violet,multi,58,2,2023-06-13T08:14:38,2023-06-13T08:14:38
206,white,multi,52,2,2023-06-13T08:14:38,2023-06-13T08:14:38
207,white excellent,multi,54,2,2023-06-13T08:14:38,2023-06-13T08:14:38
208,yellow,multi,46,2,2023-06-13T08:14:38,2023-06-13T08:14:38
209,putih tulang,multi,54,2,2023-06-13T08:14:38,2023-06-13T08:14:38
210,horizon,multi,21,2,2023-06-13T08:14:38,2023-06-13T08:14:38
